model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,x,y
gpt-oss 120B,1k-8k,4,True,1.579,True,1.895,True,2.349,b200,fp4,4,True,342.97,True,158050.621,308.233,342.97
gpt-oss 120B,1k-8k,16,False,0.307,False,0.369,False,0.457,b200,fp4,2,False,1763.37,False,812612.953,201.687,1763.37
gpt-oss 120B,1k-8k,8,True,0.847,True,1.016,True,1.259,b200,fp4,4,True,639.759,True,294819.624,292.426,639.759
gpt-oss 120B,1k-8k,16,False,0.194,False,0.233,False,0.289,b200,fp4,1,False,2790.968,False,1286160.497,157.828,2790.968
gpt-oss 120B,1k-8k,8,False,0.501,False,0.601,False,0.745,b200,fp4,2,False,1081.385,False,498334.005,247.185,1081.385
gpt-oss 120B,1k-8k,64,True,0.115,True,0.138,True,0.171,b200,fp4,2,True,4705.387,True,2168380.887,135.234,4705.387
gpt-oss 120B,1k-8k,64,True,0.169,True,0.203,True,0.252,b200,fp4,4,True,3202.214,True,1475674.67,183.022,3202.214
gpt-oss 120B,1k-8k,16,False,1.158,False,1.428,False,1.314,h200_trt,fp4,8,False,338.352,False,195578.908,153.978,338.352
gpt-oss 120B,1k-8k,16,False,0.363,False,0.448,False,0.412,h200_trt,fp4,2,False,1078.168,False,623218.733,121.783,1078.168
gpt-oss 120B,1k-8k,32,False,0.221,False,0.273,False,0.251,h200_trt,fp4,2,False,1772.993,False,1024851.708,100.71,1772.993
gpt-oss 120B,1k-8k,8,False,0.367,False,0.453,False,0.416,h200_trt,fp4,1,False,1068.025,False,617355.59,119.635,1068.025
gpt-oss 120B,1k-8k,8,True,0.584,True,0.72,True,0.662,h200_trt,fp4,2,True,671.209,True,387982.069,152.854,671.209
gpt-oss 120B,1k-8k,64,True,0.14,True,0.173,True,0.159,h200_trt,fp4,2,True,2794.727,True,1615449.113,79.723,2794.727
