model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,x,y
gpt-oss 120B,1k-1k,16,False,0.222,False,0.289,False,0.222,h100,fp4,2,False,1623.261,False,938301.245,8.912,1623.261
gpt-oss 120B,1k-1k,8,True,0.55,True,0.715,True,0.55,h100,fp4,4,True,656.981,True,379757.996,5.539,656.981
gpt-oss 120B,1k-1k,64,True,0.138,True,0.179,True,0.138,h100,fp4,4,True,2625.234,True,1517476.393,10.993,2625.234
gpt-oss 120B,1k-1k,32,False,0.148,False,0.192,False,0.148,h100,fp4,2,False,2442.253,False,1411707.147,11.817,2442.253
gpt-oss 120B,1k-8k,16,False,0.237,False,0.294,False,0.333,mi325x,fp4,1,False,1500.973,False,688519.876,87.226,1500.973
gpt-oss 120B,1k-8k,32,False,0.354,False,0.439,False,0.497,mi325x,fp4,4,False,1005.159,False,461081.98,65.116,1005.159
gpt-oss 120B,1k-8k,8,False,0.536,False,0.666,False,0.754,mi325x,fp4,2,False,663.023,False,304138.981,49.294,663.023
gpt-oss 120B,1k-8k,32,False,0.159,False,0.198,False,0.224,mi325x,fp4,1,False,2233.416,False,1024502.639,117.4,2233.416
gpt-oss 120B,1k-8k,64,True,0.11,True,0.137,True,0.155,mi325x,fp4,1,True,3234.11,True,1483536.824,161.114,3234.11
gpt-oss 120B,1k-8k,4,False,1.8,False,2.236,False,2.532,mi325x,fp4,4,False,197.509,False,90600.385,40.318,197.509
gpt-oss 120B,1k-8k,64,True,0.142,True,0.176,True,0.2,mi325x,fp4,2,True,2504.427,True,1148819.625,103.406,2504.427
gpt-oss 120B,1k-8k,4,False,0.553,False,0.687,False,0.778,mi325x,fp4,1,False,642.774,False,294850.592,49.416,642.774
gpt-oss 120B,1k-8k,16,False,0.328,False,0.407,False,0.461,mi325x,fp4,2,False,1085.349,False,497866.491,59.461,1085.349
gpt-oss 120B,1k-8k,8,True,0.812,True,1.009,True,1.142,mi325x,fp4,4,True,437.695,True,200777.542,36.978,437.695
gpt-oss 120B,1k-8k,64,True,0.313,True,0.388,True,0.44,mi325x,fp4,8,True,1136.969,True,521545.514,56.597,1136.969
gpt-oss 120B,1k-8k,8,False,0.345,False,0.428,False,0.485,mi325x,fp4,1,False,1031.522,False,473175.005,62.423,1031.522
gpt-oss 120B,1k-8k,32,True,0.215,True,0.267,True,0.303,mi325x,fp4,2,True,1652.751,True,758142.811,79.329,1652.751
gpt-oss 120B,1k-8k,16,False,0.635,False,0.789,False,0.893,mi325x,fp4,4,False,560.005,False,256883.029,57.577,560.005
gpt-oss 120B,1k-8k,8,True,1.545,True,1.919,True,2.173,mi325x,fp4,8,True,230.114,True,105556.754,35.116,230.114
gpt-oss 120B,1k-8k,32,True,0.528,True,0.656,True,0.742,mi325x,fp4,8,True,673.566,True,308975.091,48.483,673.566
gpt-oss 120B,1k-8k,4,True,2.864,True,3.558,True,4.028,mi325x,fp4,8,True,124.127,True,56939.166,32.061,124.127
gpt-oss 120B,1k-8k,64,True,0.215,True,0.268,True,0.303,mi325x,fp4,4,True,1651.042,True,757358.772,78.086,1651.042
gpt-oss 120B,1k-8k,4,False,0.868,False,1.079,False,1.221,mi325x,fp4,2,False,409.437,False,187815.069,39.375,409.437
gpt-oss 120B,1k-8k,16,False,0.862,False,1.07,False,1.212,mi325x,fp4,8,False,412.641,False,189285.031,39.252,412.641
gpt-oss 120B,1k-8k,32,True,0.28,True,0.336,True,0.416,b200,fp4,4,True,1936.502,True,892397.165,33.686,1936.502
gpt-oss 120B,1k-8k,8,False,0.301,False,0.361,False,0.447,b200,fp4,1,False,1801.807,False,830325.972,35.904,1801.807
gpt-oss 120B,1k-8k,8,False,1.658,False,1.99,False,2.466,b200,fp4,8,False,326.701,False,150553.439,24.781,326.701
gpt-oss 120B,1k-8k,4,True,0.49,True,0.588,True,0.729,b200,fp4,1,True,1105.458,True,509427.543,28.832,1105.458
gpt-oss 120B,1k-8k,32,False,0.177,False,0.213,False,0.264,b200,fp4,2,False,3055.002,False,1407835.147,42.547,3055.002
gpt-oss 120B,1k-8k,32,False,0.125,False,0.15,False,0.186,b200,fp4,1,False,4330.156,False,1995463.755,60.412,4330.156
gpt-oss 120B,1k-8k,16,False,0.982,False,1.178,False,1.46,b200,fp4,8,False,551.791,False,254281.612,29.415,551.791
gpt-oss 120B,1k-8k,4,True,3.011,True,3.613,True,4.478,b200,fp4,8,True,179.883,True,82895.506,22.235,179.883
gpt-oss 120B,1k-8k,64,True,0.087,True,0.104,True,0.129,b200,fp4,1,True,6228.689,True,2870363.569,83.249,6228.689
gpt-oss 120B,1k-8k,4,False,0.867,False,1.04,False,1.289,b200,fp4,2,False,624.934,False,287988.162,25.653,624.934
gpt-oss 120B,1k-8k,16,True,0.489,True,0.586,True,0.727,b200,fp4,4,True,1108.296,True,510735.321,29.215,1108.296
gpt-oss 120B,1k-8k,64,False,0.335,False,0.402,False,0.499,b200,fp4,8,False,1615.377,False,744413.502,39.832,1615.377
gpt-oss 120B,1k-8k,32,False,0.547,False,0.657,False,0.814,b200,fp4,8,False,990.061,False,456249.239,32.748,990.061
gpt-oss 120B,1k-8k,4,True,1.579,True,1.895,True,2.349,b200,fp4,4,True,342.97,True,158050.621,23.284,342.97
gpt-oss 120B,1k-8k,16,False,0.307,False,0.369,False,0.457,b200,fp4,2,False,1763.37,False,812612.953,36.943,1763.37
gpt-oss 120B,1k-8k,8,True,0.847,True,1.016,True,1.259,b200,fp4,4,True,639.759,True,294819.624,25.39,639.759
gpt-oss 120B,1k-8k,16,False,0.194,False,0.233,False,0.289,b200,fp4,1,False,2790.968,False,1286160.497,46.57,2790.968
gpt-oss 120B,1k-8k,8,False,0.501,False,0.601,False,0.745,b200,fp4,2,False,1081.385,False,498334.005,29.895,1081.385
gpt-oss 120B,1k-8k,64,True,0.115,True,0.138,True,0.171,b200,fp4,2,True,4705.387,True,2168380.887,54.894,4705.387
gpt-oss 120B,1k-8k,64,True,0.169,True,0.203,True,0.252,b200,fp4,4,True,3202.214,True,1475674.67,40.232,3202.214
gpt-oss 120B,1k-8k,16,False,1.158,False,1.428,False,1.314,h200_trt,fp4,8,False,338.352,False,195578.908,48.003,338.352
gpt-oss 120B,1k-8k,16,False,0.363,False,0.448,False,0.412,h200_trt,fp4,2,False,1078.168,False,623218.733,59.972,1078.168
gpt-oss 120B,1k-8k,32,False,0.221,False,0.273,False,0.251,h200_trt,fp4,2,False,1772.993,False,1024851.708,73.642,1772.993
gpt-oss 120B,1k-8k,8,False,0.367,False,0.453,False,0.416,h200_trt,fp4,1,False,1068.025,False,617355.59,60.949,1068.025
gpt-oss 120B,1k-8k,8,True,0.584,True,0.72,True,0.662,h200_trt,fp4,2,True,671.209,True,387982.069,48.31,671.209
gpt-oss 120B,1k-8k,64,True,0.14,True,0.173,True,0.159,h200_trt,fp4,2,True,2794.727,True,1615449.113,92.531,2794.727
gpt-oss 120B,1k-8k,8,False,1.016,False,1.253,False,1.152,h200_trt,fp4,4,False,385.66,False,222924.841,42.174,385.66
gpt-oss 120B,1k-8k,32,False,0.624,False,0.77,False,0.708,h200_trt,fp4,8,False,628.032,False,363024.034,51.929,628.032
gpt-oss 120B,1k-8k,32,False,0.152,False,0.187,False,0.172,h200_trt,fp4,1,False,2583.067,False,1493102.205,100.947,2583.067
gpt-oss 120B,1k-8k,64,True,0.212,True,0.262,True,0.241,h200_trt,fp4,4,True,1844.39,True,1066121.275,69.915,1844.39
gpt-oss 120B,1k-8k,16,False,0.604,False,0.745,False,0.685,h200_trt,fp4,4,False,648.502,False,374856.528,49.777,648.502
gpt-oss 120B,1k-8k,4,False,0.597,False,0.737,False,0.678,h200_trt,fp4,1,False,655.87,False,379115.775,49.467,655.87
gpt-oss 120B,1k-8k,64,True,0.122,True,0.15,True,0.138,h200_trt,fp4,1,True,3217.293,True,1859706.819,151.904,3217.293
gpt-oss 120B,1k-8k,32,True,0.339,True,0.419,True,0.385,h200_trt,fp4,4,True,1154.372,True,667267.019,56.566,1154.372
gpt-oss 120B,1k-8k,8,False,1.85,False,2.283,False,2.099,h200_trt,fp4,8,False,211.728,False,122386.108,38.412,211.728
gpt-oss 120B,1k-8k,4,True,2.946,True,3.636,True,3.343,h200_trt,fp4,8,True,132.94,True,76843.787,30.358,132.94
gpt-oss 120B,1k-8k,4,True,1.699,True,2.096,True,1.928,h200_trt,fp4,4,True,230.557,True,133269.909,34.9,230.557
gpt-oss 120B,1k-8k,4,True,1.011,True,1.247,True,1.147,h200_trt,fp4,2,True,387.516,True,223997.553,41.838,387.516
gpt-oss 120B,1k-8k,16,False,0.241,False,0.298,False,0.274,h200_trt,fp4,1,False,1622.215,False,937696.466,79.817,1622.215
gpt-oss 120B,1k-8k,64,False,0.356,False,0.44,False,0.404,h200_trt,fp4,8,False,1098.939,False,635225.07,58.45,1098.939
gpt-oss 120B,1k-8k,4,False,1.003,False,1.304,False,1.003,h100,fp4,2,False,360.065,False,208129.974,44.505,360.065
gpt-oss 120B,1k-8k,8,False,0.956,False,1.243,False,0.956,h100,fp4,4,False,377.678,False,218310.878,42.818,377.678
gpt-oss 120B,1k-8k,64,False,0.376,False,0.489,False,0.376,h100,fp4,8,False,959.66,False,554716.564,67.267,959.66
gpt-oss 120B,1k-8k,64,True,0.235,True,0.306,True,0.235,h100,fp4,4,True,1535.105,True,887343.899,84.261,1535.105
