model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,e2e_x,e2e_y,inter_x,inter_y
gpt-oss 120B,1k-1k,64,True,0.124,True,0.154,True,0.175,mi325x,fp4,4,True,2864.135,True,1313823.177,9.86,2864.135,94.821,2864.135
gpt-oss 120B,1k-1k,16,True,0.201,True,0.249,True,0.282,mi325x,fp4,2,True,1770.985,True,812378.603,8.1,1770.985,115.321,1770.985
gpt-oss 120B,1k-1k,8,False,0.216,False,0.268,False,0.304,mi325x,fp4,1,False,1645.231,False,754693.006,8.772,1645.231,107.779,1645.231
gpt-oss 120B,1k-1k,32,False,0.098,False,0.121,False,0.137,mi325x,fp4,1,False,3639.551,False,1669518.665,15.896,3639.551,58.507,3639.551
gpt-oss 120B,1k-1k,16,False,0.14,False,0.173,False,0.196,mi325x,fp4,1,False,2547.051,False,1168371.939,11.475,2547.051,82.149,2547.051
gpt-oss 120B,1k-1k,64,False,0.209,False,0.259,False,0.293,mi325x,fp4,8,False,1703.845,False,781580.392,8.204,1703.845,113.851,1703.845
gpt-oss 120B,1k-1k,8,False,0.589,False,0.731,False,0.828,mi325x,fp4,4,False,603.848,False,276994.461,5.821,603.848,162.286,603.848
gpt-oss 120B,1k-1k,8,False,0.308,False,0.382,False,0.433,mi325x,fp4,2,False,1155.207,False,529911.611,6.268,1155.207,152.642,1155.207
gpt-oss 120B,1k-1k,64,True,0.088,True,0.11,True,0.124,mi325x,fp4,2,True,4028.708,True,1848031.129,14.223,4028.708,65.608,4028.708
gpt-oss 120B,1k-1k,4,True,0.532,True,0.661,True,0.748,mi325x,fp4,2,True,668.448,True,306627.549,5.357,668.448,177.021,668.448
gpt-oss 120B,1k-1k,64,True,0.068,True,0.084,True,0.095,mi325x,fp4,1,True,5266.58,True,2415862.41,21.877,5266.58,42.469,5266.58
gpt-oss 120B,1k-1k,16,False,0.542,False,0.673,False,0.762,mi325x,fp4,8,False,656.023,False,300927.93,5.373,656.023,176.295,656.023
gpt-oss 120B,1k-1k,8,False,0.937,False,1.163,False,1.317,mi325x,fp4,8,False,379.662,False,174156.659,4.624,379.662,206.784,379.662
gpt-oss 120B,1k-1k,4,True,0.877,True,1.09,True,1.234,mi325x,fp4,4,True,405.2,True,185871.394,4.392,405.2,214.317,405.2
gpt-oss 120B,1k-1k,16,True,0.3,True,0.373,True,0.423,mi325x,fp4,4,True,1183.388,True,542838.314,5.99,1183.388,158.169,1183.388
gpt-oss 120B,1k-1k,32,False,0.332,False,0.412,False,0.467,mi325x,fp4,8,False,1071.451,False,491491.187,6.469,1071.451,145.613,1071.451
gpt-oss 120B,1k-1k,4,False,0.583,False,0.758,False,0.583,h100,fp4,2,False,619.314,False,357985.012,5.844,619.314,159.27,619.314
gpt-oss 120B,1k-1k,8,False,0.353,False,0.458,False,0.353,h100,fp4,2,False,1024.374,False,592123.529,7.143,1024.374,131.986,1024.374
gpt-oss 120B,1k-1k,16,True,0.331,True,0.43,True,0.331,h100,fp4,4,True,1092,True,631213.759,6.622,1092,139.261,1092
gpt-oss 120B,1k-1k,4,True,0.956,True,1.242,True,0.956,h100,fp4,4,True,377.905,True,218442.115,4.763,377.905,194.239,377.905
gpt-oss 120B,1k-1k,16,True,0.556,True,0.723,True,0.556,h100,fp4,8,True,649.268,True,375299.402,5.531,649.268,165.502,649.268
gpt-oss 120B,1k-1k,32,True,0.21,True,0.273,True,0.21,h100,fp4,4,True,1722.25,True,995520.322,8.337,1722.25,111.135,1722.25
gpt-oss 120B,1k-1k,64,True,0.1,True,0.13,True,0.1,h100,fp4,2,True,3617.772,True,2091197.603,16.024,3617.772,57.746,3617.772
gpt-oss 120B,1k-1k,64,False,0.223,False,0.29,False,0.223,h100,fp4,8,False,1621.199,False,937109.455,8.855,1621.199,104.364,1621.199
gpt-oss 120B,1k-1k,4,True,1.754,True,2.28,True,1.754,h100,fp4,8,True,205.911,True,119023.925,4.393,205.911,211.932,205.911
gpt-oss 120B,1k-1k,8,False,0.961,False,1.249,False,0.961,h100,fp4,8,False,375.771,False,217208.87,4.807,375.771,194.67,375.771
gpt-oss 120B,1k-1k,32,False,0.34,False,0.442,False,0.34,h100,fp4,8,False,1061.66,False,613676.23,6.765,1061.66,136.776,1061.66
gpt-oss 120B,1k-1k,16,False,0.222,False,0.289,False,0.222,h100,fp4,2,False,1623.261,False,938301.245,8.912,1623.261,102.614,1623.261
gpt-oss 120B,1k-1k,8,True,0.55,True,0.715,True,0.55,h100,fp4,4,True,656.981,True,379757.996,5.539,656.981,169.358,656.981
gpt-oss 120B,1k-1k,64,True,0.138,True,0.179,True,0.138,h100,fp4,4,True,2625.234,True,1517476.393,10.993,2625.234,83.999,2625.234
gpt-oss 120B,1k-1k,32,False,0.148,False,0.192,False,0.148,h100,fp4,2,False,2442.253,False,1411707.147,11.817,2442.253,77.992,2442.253
gpt-oss 120B,1k-8k,16,False,0.237,False,0.294,False,0.333,mi325x,fp4,1,False,1500.973,False,688519.876,87.226,1500.973,85.46,1500.973
gpt-oss 120B,1k-8k,32,False,0.354,False,0.439,False,0.497,mi325x,fp4,4,False,1005.159,False,461081.98,65.116,1005.159,114.262,1005.159
gpt-oss 120B,1k-8k,8,False,0.536,False,0.666,False,0.754,mi325x,fp4,2,False,663.023,False,304138.981,49.294,663.023,151.227,663.023
gpt-oss 120B,1k-8k,32,False,0.159,False,0.198,False,0.224,mi325x,fp4,1,False,2233.416,False,1024502.639,117.4,2233.416,63.656,2233.416
gpt-oss 120B,1k-8k,64,True,0.11,True,0.137,True,0.155,mi325x,fp4,1,True,3234.11,True,1483536.824,161.114,3234.11,45.698,3234.11
gpt-oss 120B,1k-8k,4,False,1.8,False,2.236,False,2.532,mi325x,fp4,4,False,197.509,False,90600.385,40.318,197.509,178.632,197.509
gpt-oss 120B,1k-8k,64,True,0.142,True,0.176,True,0.2,mi325x,fp4,2,True,2504.427,True,1148819.625,103.406,2504.427,70.23,2504.427
gpt-oss 120B,1k-8k,4,False,0.553,False,0.687,False,0.778,mi325x,fp4,1,False,642.774,False,294850.592,49.416,642.774,143.842,642.774
gpt-oss 120B,1k-8k,16,False,0.328,False,0.407,False,0.461,mi325x,fp4,2,False,1085.349,False,497866.491,59.461,1085.349,123.555,1085.349
gpt-oss 120B,1k-8k,8,True,0.812,True,1.009,True,1.142,mi325x,fp4,4,True,437.695,True,200777.542,36.978,437.695,200.776,437.695
gpt-oss 120B,1k-8k,64,True,0.313,True,0.388,True,0.44,mi325x,fp4,8,True,1136.969,True,521545.514,56.597,1136.969,130.049,1136.969
gpt-oss 120B,1k-8k,8,False,0.345,False,0.428,False,0.485,mi325x,fp4,1,False,1031.522,False,473175.005,62.423,1031.522,118.1,1031.522
gpt-oss 120B,1k-8k,32,True,0.215,True,0.267,True,0.303,mi325x,fp4,2,True,1652.751,True,758142.811,79.329,1652.751,94.144,1652.751
gpt-oss 120B,1k-8k,16,False,0.635,False,0.789,False,0.893,mi325x,fp4,4,False,560.005,False,256883.029,57.577,560.005,127.37,560.005
gpt-oss 120B,1k-8k,8,True,1.545,True,1.919,True,2.173,mi325x,fp4,8,True,230.114,True,105556.754,35.116,230.114,210.982,230.114
gpt-oss 120B,1k-8k,32,True,0.528,True,0.656,True,0.742,mi325x,fp4,8,True,673.566,True,308975.091,48.483,673.566,154.516,673.566
gpt-oss 120B,1k-8k,4,True,2.864,True,3.558,True,4.028,mi325x,fp4,8,True,124.127,True,56939.166,32.061,124.127,224.802,124.127
gpt-oss 120B,1k-8k,64,True,0.215,True,0.268,True,0.303,mi325x,fp4,4,True,1651.042,True,757358.772,78.086,1651.042,94.277,1651.042
gpt-oss 120B,1k-8k,4,False,0.868,False,1.079,False,1.221,mi325x,fp4,2,False,409.437,False,187815.069,39.375,409.437,184.862,409.437
